Sample ID,Cell ID,Source ID,Score,tsne-x,tsne-y,Selected,Cluster indicators
discrete,string,discrete,continuous,continuous,continuous,discrete,"AXLSIGLEC6,\ No AXLSIGLEC6,\ Yes BPDCN1,\ No BPDCN1,\ Yes BPDCN2,\ No BPDCN2,\ Yes BPDCN3,\ No BPDCN3,\ Yes BPDCN4,\ No BPDCN4,\ Yes C100C34int,\ No C100C34int,\ Yes CD123NEG,\ No CD123NEG,\ Yes CD141,\ No CD141,\ Yes CD1C,\ No CD1C,\ Yes DoubleNeg,\ No DoubleNeg,\ Yes Mono,\ No Mono,\ Yes pDC,\ No pDC,\ Yes"
class,meta,meta,meta,meta,meta,meta,meta
AXLSIGLEC6,AXLSIGLEC6_S1,Validation,1.7646518993795444,20.321086883544922,-23.35602378845215,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S23,Validation,2.237385520651261,27.413820266723633,-19.85625648498535,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S24,Validation,2.408647590481854,26.68826675415039,-22.4284725189209,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S25,Validation,2.7835797381821994,27.55423355102539,-21.900285720825195,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S26,Validation,1.520279646156666,19.929155349731445,-23.541248321533203,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S28,Validation,2.4403654028488804,23.277265548706055,-23.365421295166016,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S30,Validation,2.3799619209277636,23.995391845703125,-22.00006103515625,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S36,Validation,1.7057003211029556,26.78036117553711,-20.8302001953125,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S37,Validation,1.8293151061967412,21.386581420898438,-23.07326316833496,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S38,Validation,2.6157887753659916,26.43556785583496,-23.34522247314453,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S39,Validation,2.237726507106738,20.387706756591797,-23.311246871948242,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S3,Validation,2.2833332617133792,23.685609817504883,-21.879728317260742,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S42,Validation,1.6053798357021924,27.355009078979492,-20.207447052001953,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S44,Validation,2.353971585175371,25.543901443481445,-22.39368438720703,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S45,Validation,1.7801603843319433,23.924209594726562,-23.315574645996094,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S48,Validation,2.1677289051768986,26.189329147338867,-23.38819694519043,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S50,Validation,2.2874962932498546,22.661680221557617,-23.78626823425293,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S59,Validation,2.2432024736447103,23.473833084106445,-22.736297607421875,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S5,Validation,2.3221325627139753,26.882694244384766,-20.792285919189453,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S60,Validation,2.388131696628161,27.09214973449707,-21.80967903137207,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S61,Validation,2.4327644818068968,26.662431716918945,-21.92903709411621,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S62,Validation,2.575631178361376,23.13155174255371,-22.992572784423828,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S64,Validation,2.0987546903414636,25.661230087280273,-20.888580322265625,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S66,Validation,2.3222892218471065,23.37830352783203,-20.550460815429688,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S6,Validation,2.1548733691112916,21.705514907836914,-22.338375091552734,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S71,Validation,2.4015878822433967,24.708974838256836,-22.82838249206543,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S73,Validation,2.372832482776057,26.797653198242188,-22.582332611083984,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S74,Validation,1.474705389005697,26.86025047302246,-20.0013370513916,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S76,Validation,2.1358395244488477,24.29020881652832,-22.37959098815918,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S78,Validation,2.3895777833187752,-7.12944221496582,-13.551673889160156,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S80,Validation,2.644601041610619,25.309703826904297,-22.97821617126465,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S82,Validation,2.276160688878634,23.02869987487793,-23.670801162719727,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S84,Validation,2.4992290190944697,25.713136672973633,-22.348840713500977,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S86,Validation,1.9611444017624318,24.61290740966797,-22.53719139099121,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S88,Validation,2.565149815249157,24.39370346069336,-23.05499267578125,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S8,Validation,1.5836232327868593,20.144874572753906,-22.760299682617188,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S90,Validation,2.367435681557888,25.460308074951172,-22.30829620361328,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S91,Validation,2.296746684114115,23.842790603637695,-22.214996337890625,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_S96,Validation,2.573108116370509,25.87299919128418,-23.43483543395996,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S12,Validation,1.3732440503775623,2.238919258117676,-14.893345832824707,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S14,Validation,2.5541770583391497,2.859151840209961,-16.54908561706543,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S15,Validation,1.4371203245900532,2.7596330642700195,-13.314172744750977,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S20,Validation,1.3954329970613977,2.326240062713623,-12.94748592376709,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S23,Validation,1.6004311862287521,2.6965925693511963,-13.52892780303955,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S27,Validation,1.2840325884143189,1.636579155921936,-12.357658386230469,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S2,Validation,0.869945332632037,1.6126890182495117,-12.594478607177734,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S32,Validation,1.2416650617342004,2.007953643798828,-12.801790237426758,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S41,Validation,1.4060073321504856,2.1777353286743164,-12.867721557617188,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S44,Validation,1.5487130820820167,2.236107587814331,-12.967065811157227,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S4,Validation,1.413299889559339,1.6307623386383057,-12.479619979858398,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S7,Validation,1.07188428215873,1.4173047542572021,-12.0520658493042,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S8,Validation,0.9930363776682137,0.7655012607574463,-12.065200805664062,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cplus_S9,Validation,1.2555578538696155,1.7326513528823853,-12.34875202178955,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_CD11Cminus_S13,Validation,2.2378492426760577,3.831955909729004,-18.79422378540039,Yes,"AXLSIGLEC6, Yes"
